year,mileage,tax,mpg,engineSize,price
1970,37357,200,42.2,1.4,10495
1970,14000,305,39.2,0,24999
1996,50000,265,34.4,1.8,3000
1996,36000,270,26.4,2.8,5995
1997,89233,265,35.8,1.6,950
1997,49000,270,35.3,1.9,3950
1997,122000,265,18.9,4.2,4650
1997,76000,255,28.2,3.2,9995
1998,43534,265,23.3,6,19990
1998,37000,160,41.5,1.2,2699
1998,113557,265,32.1,2.3,1990
1998,99300,265,32.1,2.3,1990
1998,56500,270,35.3,1.9,3950
1998,100000,265,23.9,4.2,19990
1998,49000,255,28.2,3.2,10450
1998,55000,265,30.4,1.8,4999
1999,58000,270,35.3,1.9,3950
1999,51949,255,35.3,1.9,3995
1999,34000,145,24.6,3.2,5995
1999,74282,245,35.3,1.9,3995
1999,89000,160,42.9,1.3,1995
1999,82000,245,31,2.8,1200
2000,21000,160,42.9,1.3,2695
2000,80670,245,35.8,2,1999
2000,87000,265,27.2,3.2,1490
2000,99209,265,29.4,2,1699
2000,68709,270,24.6,3.2,11750
2000,43000,160,41.5,1.3,1995
2000,93000,270,29.7,2.5,1550
2000,113237,270,27.2,3.2,3990
2001,22633,125,53.3,0,13000
2001,68010,330,30.1,2,3490
2001,108800,325,31.7,3.2,1695
2001,159000,235,40.4,1.6,450
2001,66000,570,24.6,3.2,4495
2001,1,325,29.7,2,899
2001,60000,325,30.7,2.2,5950
2001,47729,330,32.5,2,2490
2001,76000,300,35.3,1.6,899
2001,90000,325,27.7,3,3050
2001,45000,160,45.6,1.2,1888
2001,110000,200,49.6,1.6,1295
2001,91000,325,30,2.3,3950
2001,122000,305,22.3,5,12999
2001,48172,325,30,2.3,3990
2001,60997,325,29.4,2,3990
2001,56785,325,25.5,3.2,4990
2001,69234,325,30.7,2,3990
2001,64476,325,27.2,3.2,4990
2001,42087,325,30,2.3,4490
2002,105000,300,35.8,1.6,1095
2002,99000,295,30.1,1.8,2876
2002,115000,325,28.5,2.2,1595
2002,99842,145,50.4,1,495
2002,85000,200,44.8,1.2,700
2002,16500,325,29.4,2.2,14995
2002,58000,160,45.6,1.2,1500
2002,117000,280,35.8,2,1275
2002,85452,330,33.6,2,3999
2002,21000,200,42.2,1.3,2695
2002,13800,305,39.8,2.7,1495
2002,34000,325,22.2,5,16999
2002,98000,325,24.6,5,3790
2002,26000,200,44.8,1.2,1495
2002,104000,200,40.4,1.5,950
2002,78316,325,23.7,3.5,6990
2002,121821,330,29.4,2.5,2990
2002,52700,325,31.4,2,2140
2002,99000,325,30.1,2.2,2350
2002,75034,325,30,2.3,4990
2002,77000,325,21.1,5.4,8995
2002,136784,300,36.2,1.8,895
2002,69000,220,38.7,1.6,2695
2002,108000,230,38.2,1.7,2195
2002,131925,325,30.1,1.8,1990
2002,80586,330,30.7,2,2990
2002,24000,570,21.1,5,6995
2002,71788,165,42.2,1.3,1999
2002,61400,325,30,2.3,3990
2002,140000,325,32.1,2,1600
2003,87000,260,40.9,1.6,1300
2003,106000,325,39.8,1.8,4990
2003,21000,230,36.7,1.8,6975
2003,57989,325,30,2.3,3990
2003,33647,265,37.7,1.6,2499
2003,58500,325,30,2.3,3650
2003,89000,235,39.2,1.6,1495
2003,109090,235,40,1.4,650
2003,167054,205,48.7,2,850
2003,117000,290,39.8,2.5,2495
2003,47450,325,22.2,5,12995
2003,104000,300,34.5,1.8,2395
2003,101000,240,44.5,1.9,1490
2003,105000,230,39.2,2.7,3376
2003,62000,325,24.6,3.2,12450
2003,56064,325,31,2,3999
2003,70000,325,29.7,3,3495
2003,177644,200,41.5,1.6,495
2003,65456,235,38.2,1.8,3995
2003,43000,325,28.8,3.2,6490
2003,102000,300,34.5,1.8,2195
2003,129000,325,31.7,2.5,2495
2003,185000,330,17.8,4.3,3495
2003,82000,160,44.8,1.2,590
2003,100000,30,65.7,1.4,2490
2003,78528,260,35.8,1.6,1299
2003,37000,325,26.4,3,14950
2003,89630,200,40.9,1.6,1695
2003,90000,205,43.5,1.2,450
2003,107000,145,50.4,1,975
2003,58415,330,27.2,3.2,5990
2004,100730,325,19.3,4.2,8995
2004,121000,325,29.7,2.7,19950
2004,113000,300,39.2,2.7,2995
2004,51566,325,30.7,2,4990
2004,96000,165,47.1,1.2,1295
2004,48524,160,47.1,1.1,1100
2004,165000,330,20,3.7,1995
2004,119000,300,34.5,1.8,1495
2004,58000,260,39.2,2.7,3399
2004,118400,325,30.7,2,3490
2004,62744,325,30.7,2,4990
2004,64622,160,44.8,1.2,1491
2004,129000,325,30.8,1.8,2895
2004,65000,145,48.7,1.2,1000
2004,75000,125,53.3,1,2444
2004,110000,315,36.2,2.5,1699
2004,64015,325,30,2.3,3990
2004,133175,300,36.2,2,2888
2004,39000,330,31,3,8750
2004,55000,315,23.3,3.2,14950
2004,111000,160,45.6,1.2,999
2004,96000,260,36.7,1.8,2095
2004,100000,330,23.7,2.5,3495
2004,150000,200,41.5,1.4,1550
2004,116971,300,35.8,1.6,1800
2004,111000,260,37.2,1.8,1250
